difficulty_level,left_operand,right_operand,question,correct_answer,q_value,carry_count,digit_complexity
QE,6,9,6 + 9 = ?,15,1.0,1,0
QE,40,5,40 + 5 = ?,45,1.0,0,1
QH,824,364,824 + 364 = ?,1188,5.0,1,4
QH,576,44,576 + 44 = ?,620,5.0,2,3
QM,29,1,29 + 1 = ?,30,2.0,1,1
QH,273,93,273 + 93 = ?,366,4.0,1,3
QM,822,9,822 + 9 = ?,831,3.0,1,2
QH,448,961,448 + 961 = ?,1409,6.0,2,4
QE,63,5,63 + 5 = ?,68,1.0,0,1
QE,21,1,21 + 1 = ?,22,1.0,0,1
QM,67,8,67 + 8 = ?,75,2.0,1,1
QH,936,645,936 + 645 = ?,1581,6.0,2,4
QE,64,4,64 + 4 = ?,68,1.0,0,1
QM,26,6,26 + 6 = ?,32,2.0,1,1
QE,21,8,21 + 8 = ?,29,1.0,0,1
QH,664,191,664 + 191 = ?,855,5.0,1,4
QM,52,19,52 + 19 = ?,71,3.0,1,2
QM,73,60,73 + 60 = ?,133,3.0,1,2
